gnutls 3.8.10-1
gobject-introspection-runtime 1.84.0-2
godot-mono 4.4.1-5
gom 0.5.3-2
google-breakpad v2024.02.16-1
gperftools 2.17-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
graphene 1.10.8-2
graphite 1:1.3.14-5
grep 3.12-2
grilo 0.3.19-1
grilo-plugins 1:0.3.18-1
grim 1.5.0-2
groff 1.23.0-7
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-5
gsl 2.8-1
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-2
gssdp 1.6.4-1
gst-devtools-libs 1.26.5-1
gst-editing-services 1.26.5-1
gst-plugin-gtk 1.26.5-1
gst-plugin-gtk4 0.14.1-1
gst-plugin-pipewire 1:1.4.7-1
gst-plugins-bad 1.26.5-1
gst-plugins-bad-libs 1.26.5-1
gst-plugins-base 1.26.5-1
gst-plugins-base-libs 1.26.5-1
gst-plugins-good 1.26.5-1
gst-python 1.26.5-1
gstreamer 1.26.5-1
gtest 1.17.0-1
gtk-layer-shell 0.9.2-1
gtk-update-icon-cache 1:4.18.6-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.50-1
gtk4 1:4.18.6-1
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-2
gtksourceview5 5.16.0-2
guile 3.0.10-1
gupnp 1:1.6.9-1
gupnp-av 0.14.4-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.57.2-4
gvfs-afc 1.57.2-4
gvfs-dnssd 1.57.2-4
gvfs-goa 1.57.2-4
gvfs-google 1.57.2-4
gvfs-gphoto2 1.57.2-4
gvfs-mtp 1.57.2-4
gvfs-nfs 1.57.2-4
gvfs-onedrive 1.57.2-4
gvfs-smb 1.57.2-4
gvfs-wsdd 1.57.2-4
gzip 1.14-2
harfbuzz 11.4.1-1
harfbuzz-icu 11.4.1-1
haskell-aeson 2.1.2.1-119
haskell-ansi-terminal 1.0.2-34
haskell-ansi-terminal-types 0.11.5-74
haskell-assoc 1.1.1-39
haskell-attoparsec 0.14.4-114
haskell-base-compat 0.12.3-1
haskell-base-compat-batteries 0.12.3-26
haskell-base-orphans 0.9.1-27
haskell-bifunctors 5.6.1-6
haskell-colour 2.3.6-284
haskell-comonad 5.0.9-60
haskell-contravariant 1.5.5-5
haskell-data-fix 0.3.4-15
haskell-diff 0.4.1-114
haskell-distributive 0.6.2.1-260
haskell-dlist 1.0-292
haskell-erf 2.0.0.0-26
haskell-fgl 5.8.3.0-39
haskell-foldable1-classes-compat 0.1-207
haskell-generically 0.1.1-27
haskell-hashable 1.4.4.0-111
haskell-indexed-traversable 0.1.4-115
haskell-indexed-traversable-instances 0.1.2-64
haskell-integer-logarithms 1.0.4-20
haskell-onetuple 0.4.2-60
haskell-optparse-applicative 0.18.1.0-27
haskell-os-string 2.0.7-52
haskell-prettyprinter 1.7.1-238
haskell-prettyprinter-ansi-terminal 1.1.3-253
haskell-primitive 0.9.0.0-10
haskell-quickcheck 2.14.3-173
haskell-random 1.2.1.3-6
haskell-regex-base 0.94.0.3-2
haskell-regex-tdfa 1.3.2.4-21
haskell-scientific 0.3.7.0-161
haskell-semialign 1.3-53
haskell-semigroupoids 6.0.1-35
haskell-splitmix 0.1.0.5-99
haskell-statevar 1.2.2-4
haskell-strict 0.5-99
haskell-tagged 0.8.9-2
haskell-tasty 1.4.3-163
haskell-text-short 0.1.6-44
haskell-th-abstraction 0.5.0.0-1
haskell-these 1.2.1-38
haskell-time-compat 1.9.6.1-147
haskell-transformers-compat 0.7.2-3
haskell-unordered-containers 0.2.20-78
haskell-uuid-types 1.0.6-37
haskell-vector 0.13.2.0-47
haskell-vector-stream 0.1.0.1-3
haskell-witherable 0.4.2-169
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
htop 3.4.1-1
hunspell 1.7.2-2
hwdata 0.397-1
hwloc 2.12.1-1
hyphen 2.8.8-6
hyprcursor 0.1.13-1
hyprgraphics 0.1.5-2
hyprland 0.50.1-1
hyprland-qt-support 0.1.0-7
hyprland-qtutils 0.1.4-3
hyprlang-git 0.6.4.r1.g23f0deb-1
hyprlang-git-debug 0.6.4.r1.g23f0deb-1
hyprlock 0.9.1-1
hyprpaper 0.7.5-3
hyprutils-git 0.8.2.r0.gc65d41d-1
hyprutils-git-debug 0.8.2.r0.gc65d41d-1
hyprwayland-scanner-git 0.4.5.r0.gfcca0c6-1
hyprwayland-scanner-git-debug 0.4.5.r0.gfcca0c6-1
i3-wm 4.24-1
i3blocks 1.5-4
i3lock 2.15-3
i3status 2.15-1
iana-etc 20250612-1
icu 76.1-1
iio-sensor-proxy 3.8-1
ijs 0.35-6
imagemagick 7.1.2.1-1
imath 3.1.12-4
imlib2 1.12.5-1
intel-ucode 20250812-1
iproute2 6.16.0-2
iptables 1:1.8.11-2
iputils 20250605-1
iso-codes 4.18.0-1
iwd 3.9-1
jansson 2.14.1-1
jasper 4.2.5-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk17-openjdk 17.0.16.u8-1
jemalloc 1:5.3.0-5
js128 128.13.0-2
json-c 0.18-2
